generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
65,6600,6424,416639,129299,118413,-20.053,13.9846,-10.6126,-1.19874,-3.0561,-2.81999,1.16465,-1.24768,-0.352743,-7.34104,10.4416,-16.7305,-12.9865,-15.6298,-11.5624,-16.0112,-10.5585,-17.7941,-9.69019,-22.3252,-9.05182,-78.877
66,6700,458,566690,123931,113852,-20.0781,13.9462,-10.6204,-1.16246,-3.10032,-2.94814,1.06174,-1.24159,-0.192738,-7.31382,10.4027,-16.7847,-13.0288,-15.6368,-11.611,-15.9861,-10.6991,-17.9028,-9.69604,-22.0811,-8.94242,-78.8934
67,6800,4494,340241,96431.4,94247.2,-20.1178,13.9644,-10.6296,-1.1509,-2.98807,-2.97846,1.24984,-1.26116,-0.218242,-7.28556,10.4116,-16.7729,-13.0113,-15.63,-11.5836,-16.01,-10.6949,-17.8744,-9.7037,-21.9908,-9.05359,-78.8634
68,6900,8306,335642,118053,94965.4,-20.1311,13.9655,-10.6269,-1.22404,-2.9433,-2.94404,1.18662,-1.28098,-0.163071,-7.30561,10.4294,-16.7688,-12.9948,-15.6188,-11.6722,-16.0283,-10.754,-17.8809,-9.6733,-21.9065,-9.07081,-78.8727
69,7000,4427,389888,91128.4,96955.9,-19.9886,13.9785,-10.6276,-1.14596,-2.89934,-2.95769,1.16947,-1.28958,-0.149311,-7.25288,10.4143,-16.7753,-12.9993,-15.6158,-11.7926,-16.0419,-10.8095,-17.8542,-9.67329,-21.9223,-9.14804,-78.9127
70,7100,2193,322548,106964,101491,-20.1055,14.0011,-10.629,-1.1786,-2.87701,-2.9779,1.19753,-1.29681,-0.224106,-7.22185,10.4217,-16.7886,-13.0108,-15.6167,-11.797,-15.9883,-10.8001,-17.8681,-9.6596,-21.9417,-9.15167,-78.9056
71,7200,3735,280646,72123.8,66323.7,-20.1053,13.9876,-10.6268,-1.22597,-2.9013,-2.93031,1.26802,-1.29444,-0.269953,-7.23361,10.4284,-16.7952,-13.004,-15.6176,-11.7875,-16.005,-10.8147,-17.8942,-9.59881,-22.0687,-9.1933,-78.9117
72,7300,4723,442276,94797.5,91924.3,-20.0882,14.0104,-10.625,-1.17685,-2.88625,-3.02864,1.19183,-1.29261,-0.0947148,-7.24967,10.426,-16.7936,-13.009,-15.6109,-11.7777,-15.9821,-10.7872,-17.8909,-9.621,-22.0733,-9.21393,-78.938
73,7400,2559,493306,122114,135909,-20.1159,14.026,-10.6226,-1.10703,-2.88978,-3.08185,1.22927,-1.29491,-0.142216,-7.24366,10.4128,-16.8137,-13.0149,-15.6072,-11.7879,-15.9719,-10.7865,-17.8919,-9.65908,-21.9352,-9.14863,-78.9765
74,7500,8045,456678,147588,141565,-20.1282,14.0061,-10.6227,-1.17177,-2.89945,-3.04307,1.21558,-1.29666,0.0863554,-7.25896,10.4098,-16.8178,-13.0133,-15.6022,-11.7712,-15.9808,-10.7904,-17.8908,-9.66776,-21.9562,-9.12765,-78.9417
75,7600,1487,470521,138611,127280,-20.1094,13.9897,-10.623,-1.42631,-2.91031,-3.08089,1.1858,-1.29698,0.00424776,-7.2581,10.4097,-16.8208,-13.0153,-15.598,-11.7516,-15.9964,-10.7932,-17.8793,-9.65392,-21.9181,-9.15137,-78.9303
76,7700,2286,714621,125763,148228,-20.1002,13.9925,-10.6238,-1.32588,-2.90473,-3.07047,1.18254,-1.29895,-0.231707,-7.25197,10.4197,-16.8283,-13.0192,-15.5965,-11.7716,-15.9876,-10.7817,-17.8658,-9.71963,-21.9794,-9.19833,-78.8855
77,7800,1348,380775,122673,112259,-20.1169,13.9864,-10.6251,-1.32626,-2.92427,-3.12612,1.19022,-1.30271,-0.0860804,-7.24186,10.4408,-16.8341,-13.0174,-15.5904,-11.7689,-15.9704,-10.7749,-17.863,-9.71767,-21.9173,-9.17966,-78.8833
78,7900,1037,354273,117710,96116.4,-20.1542,13.9857,-10.6199,-1.34023,-2.92718,-3.14921,1.19276,-1.30148,0.0636182,-7.23185,10.4343,-16.8257,-13.0137,-15.5889,-11.773,-15.9874,-10.7766,-17.8617,-9.71298,-21.9448,-9.17395,-78.8387
79,8000,10305,432990,114787,117742,-20.1932,13.9939,-10.6233,-1.41904,-2.93147,-3.15494,1.19258,-1.30782,0.00978878,-7.23283,10.4228,-16.8099,-13.0135,-15.5923,-11.7736,-15.9799,-10.7741,-17.8667,-9.69898,-21.9581,-9.14712,-78.8216
80,8100,6217,340911,105952,98501.9,-20.2219,13.99,-10.6201,-1.4546,-2.93359,-3.1828,1.18101,-1.30939,0.0501304,-7.23778,10.417,-16.8116,-13.0129,-15.5905,-11.7762,-16.0069,-10.7743,-17.8683,-9.68412,-21.9599,-9.1729,-78.7519
