generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
136,1781,102,8829,2126,2021.55,7.36281
137,1794,183,7716,2427.07,2256.19,7.12668
138,1807,377,10723,2486.2,2632.49,6.97328
139,1820,215,15583,3324.43,3243.13,6.93233
140,1833,308,5548,2429.27,1590.78,6.79392
141,1846,197,8096,2090.53,1655.71,6.69287
142,1859,285,8916,2648.37,2363.03,6.50383
143,1872,123,9937,3259.13,2661.04,6.3933
144,1885,192,21080,2434.37,3934.82,6.39875
145,1898,232,10096,2498.67,2336.84,6.30906
146,1911,129,5044,1966.47,1463.33,6.27434
147,1924,151,14602,3193.27,3445.97,6.27928
148,1937,280,13900,3191.27,3230.62,6.26052
149,1950,269,10427,3043.1,3101.1,6.1924
150,1963,312,9886,2862.87,2806.93,6.09574
151,1976,71,11956,2084.07,2544.01,6.11808
152,1989,105,13870,3644.57,4361.26,6.1837
153,2002,108,11949,2964.93,2950.69,6.23086
154,2015,298,7861,2602.77,2295.76,6.18611
155,2028,12,13126,2174.9,2482.18,6.04592
156,2041,102,12463,2856.87,2643.95,6.0824
157,2054,111,25733,4357.7,5376.06,6.00753
158,2067,75,13445,3050.07,3373.3,5.89528
159,2080,258,13271,2685.67,2932.17,5.77107
160,2093,239,11141,2883.43,2792.67,5.53662
161,2106,121,8912,3149.17,2647.94,5.23261
162,2119,156,20288,3590.3,4016.53,5.05155
163,2132,186,17079,3681.27,3940.24,4.90807
164,2145,87,11973,3535.5,3421.53,5.00685
165,2158,414,14112,3924.33,3075.23,5.06777
166,2171,74,15409,3022.53,3204.47,5.16044
167,2184,56,13978,2835.1,3115.45,5.21092
168,2197,220,13910,3177.6,2811.29,5.23135
169,2210,180,16170,4232.57,3652.05,5.11519
170,2223,129,14293,3620.17,3460.05,5.0834
171,2236,617,21913,6159.23,5333.34,5.01834
172,2249,158,19070,4509.17,4435.07,4.9359
173,2262,169,13081,3554.07,3434.83,4.9314
174,2275,72,21439,3537.47,4261.13,4.98636
175,2288,145,13028,4563.5,3503.66,5.11119
176,2301,343,14756,4055.73,3124.88,4.95836
177,2314,103,17490,4219.23,4632.09,4.74309
178,2327,133,18315,4273.63,4785.32,4.7274
179,2340,291,18771,3602.2,3814.32,4.76962
180,2353,213,12480,3797.97,3263.74,4.82697
181,2366,219,21927,3668.53,4237.75,4.7978
182,2379,196,11904,3430.43,3207.23,4.6322
183,2392,260,17122,4450.5,3830.68,4.49224
184,2405,137,17970,4331.33,4058.72,4.33087
185,2418,80,12020,2892.7,2904.26,4.18857
186,2431,113,9324,3234.83,2567.69,4.14506
187,2444,79,10401,2973.8,2065.88,3.98798
188,2457,166,10447,3237.77,2492.2,3.94119
189,2470,203,10440,3399.13,3080.88,3.91573
190,2483,69,16030,3507,3692.09,3.98788
191,2496,298,11933,4368.03,3230.25,3.97909
192,2509,155,18847,3513.43,3668.17,3.92875
193,2522,198,20603,3612.87,4028.32,3.92769
194,2535,32,30728,5117.93,6107.75,3.94248
195,2548,143,17597,2841.63,3520.71,3.9147
196,2561,80,11274,3860.47,3206.64,3.97682
197,2574,150,7651,2860.8,1960.13,4.01909
198,2587,146,20015,5450.73,5217.38,4.00922
199,2600,276,12458,3676.3,3411.78,3.93598
200,2613,272,13904,4084.03,3646.7,3.7814
201,2626,159,17460,4948.53,4195.19,3.81444
202,2639,139,19344,5080.57,5086.16,3.83348
203,2652,124,26551,5393.63,6238.74,3.94432
204,2665,97,22873,5017.9,5257.14,4.01069
205,2678,119,28291,6120.93,7017.55,4.0743
206,2691,168,31329,8693.4,7753.4,4.11663
207,2704,126,13846,5356.03,3726.62,4.18913
208,2717,150,20039,5291.6,4915.95,4.31634
209,2730,295,12932,4716.47,3641.58,4.4494
210,2743,504,14978,4436.77,3814.2,4.47497
211,2756,447,12413,3770.73,2931.7,4.45964
212,2769,197,16483,4565.47,4095.95,4.42735
213,2782,183,12767,4285.3,4267.82,4.40022
214,2795,79,12505,4516.1,3613.9,4.32271
215,2808,266,25447,5475.07,5834.92,4.25339
216,2821,551,20441,6373.87,5532.79,4.18845
217,2834,20,22068,8057.47,6016.04,4.22474
218,2847,279,12549,5057.8,3487.93,4.16471
219,2860,240,26539,5649.13,6573.18,4.19201
220,2873,348,11073,4013.77,2820.97,4.2585
221,2886,1484,38197,10266.4,9109.42,4.24861
222,2899,115,36203,7647.97,8698.4,4.27723
223,2912,118,17644,4801.77,4767.25,4.24911
224,2925,561,21650,6403.27,5184.93,4.26857
225,2938,300,28290,6652.43,6875.25,4.19903
226,2951,189,11597,4490.73,3457.14,4.21687
227,2964,56,19601,4477.8,4873.19,4.31441
228,2977,451,35756,5766.13,7458.74,4.32393
229,2990,198,20594,6569.2,5910.24,4.31362
230,3003,487,19895,6149.43,5263.06,4.19528
231,3016,63,21395,6620.47,4717.71,4.08245
232,3029,132,18282,7276.47,5813.23,3.94336
233,3042,622,22611,5335.83,5394.48,3.8436
234,3055,94,28718,5301.2,6039.59,3.78845
235,3068,99,19177,5451.3,5716.47,3.68526
236,3081,224,19931,6235.17,4653.63,3.64203
237,3094,274,28992,8457.57,7359.01,3.67284
238,3107,38,22612,6309.03,5887.1,3.64188
239,3120,416,25837,7443.4,5968.43,3.69986
240,3133,743,36814,9397.43,8911.25,3.72551
241,3146,175,36715,7282.6,9204.92,3.71938
242,3159,218,15810,6158.3,4327.98,3.85055
243,3172,378,16799,4652.8,4244.94,3.82206
244,3185,178,14665,4767.17,4362.31,3.78628
245,3198,57,21464,4720.5,5688.41,3.62631
246,3211,128,17001,4708.4,4648.75,3.47565
247,3224,81,24278,3991.87,5725.46,3.38798
248,3237,199,27481,5595.97,5461.69,3.26764
