generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
94,2090,1591,176842,54175.8,49136.1,10.0609,6.94907,-10.6835,-1.95178,-4.14542,-4.95315,-3.01442,-0.642262,-3.30635,-10.1322,9.08469,-24.9391,-10.6214,-19.2234,-13.4719,-23.92,-14.0749,-16.3583,-17.8947,-26.1592,-1.41764,-84.8462
95,2112,1634,112159,33179.8,28956.1,8.78945,6.85823,-12.8372,0.313725,-1.68633,-6.66462,0.456538,-1.0291,-3.71108,-17.355,8.74254,-24.1267,-11.095,-20.2219,-15.2259,-21.6344,-13.987,-18.8605,-16.5826,-23.1043,-3.12161,-85.4314
96,2134,596,145944,40416.5,42496.8,6.16611,5.85974,-12.3585,0.864426,-3.37316,-4.21425,0.710289,-0.46598,-4.40731,-16.0518,9.33844,-21.5966,-13.3019,-21.1045,-15.2804,-19.4487,-14.7804,-18.4937,-16.4602,-23.2725,-2.57917,-86.4036
97,2156,360,87382,22159.5,21860.8,9.59747,3.76864,-9.19558,-1.17675,-0.504693,-5.2597,0.5937,2.08156,-7.55899,-15.1411,10.5864,-21.3005,-11.4346,-19.103,-14.5508,-19.0097,-14.5074,-18.8726,-18.6894,-22.3466,-3.6132,-86.7566
98,2178,2017,130788,43962.9,32305,6.01974,2.75107,-7.51335,-1.78543,-1.00693,-5.06094,-0.411276,1.78621,-7.66828,-13.1047,8.81818,-22.658,-10.746,-21.8036,-14.928,-18.6294,-12.94,-22.2695,-18.5465,-23.2353,-4.02391,-88.2041
99,2200,92,78644,18639.8,19475.5,5.21977,5.27932,-7.56324,-2.94458,-1.56175,-0.599427,-2.6953,-0.194202,-6.44386,-14.24,8.80986,-22.7896,-11.787,-21.214,-14.8655,-18.0327,-12.6756,-21.9209,-18.8999,-24.9893,-6.18311,-87.9041
100,2222,202,121446,42631.2,31185.3,5.646,3.06161,-8.93244,-2.63072,-1.57846,-2.35838,-5.20732,-0.954533,-7.36035,-9.93295,13.1629,-21.7751,-9.32573,-21.3959,-15.9022,-17.2889,-12.4723,-18.8456,-19.4485,-25.0141,-3.77425,-85.5434
101,2244,756,193158,35799.8,44458.8,4.44252,5.05326,-9.62256,-4.29056,-0.368921,-3.77396,-4.00713,0.32322,-6.55348,-10.5372,13.0307,-24.311,-9.30499,-23.0405,-17.0595,-17.5378,-11.5522,-18.8847,-19.3666,-24.9327,-3.69495,-85.8407
102,2266,1491,157564,35701.1,37308.4,6.76126,5.53369,-6.46336,-6.35946,-0.0962229,-4.08142,-6.25738,0.869678,-7.42524,-11.2426,12.2487,-23.5765,-9.81058,-22.7486,-17.9439,-16.8266,-12.219,-19.5958,-18.6068,-26.6906,-3.07783,-88.7667
103,2288,130,144477,37062.5,32920,4.92862,6.84019,-7.75099,-5.85947,-2.05369,-4.40207,-5.48542,-1.93889,-5.74351,-12.5958,16.0347,-23.0248,-11.4407,-19.961,-18.9234,-18.0545,-11.215,-18.354,-19.5889,-26.2665,-3.28206,-89.7888
104,2310,3907,200100,45558.1,46422.6,3.15854,4.968,-7.45391,-6.35948,-0.892535,-5.96056,-3.72218,-0.836991,-5.91112,-14.8227,10.5296,-22.313,-13.3791,-19.0082,-15.4898,-17.01,-12.5513,-20.6191,-17.0008,-24.8748,-1.84169,-93.5862
105,2332,939,62770,25604.4,21253.4,2.60402,5.1889,-7.41868,-7.94332,-0.344625,-5.21531,-4.54676,2.98039,-7.84215,-14.1638,14.431,-21.6897,-13.6102,-21.9022,-13.8795,-17.677,-11.7127,-19.3126,-18.9529,-24.3173,-0.344111,-94.6349
106,2354,2429,179857,39394.1,38780.1,5.37832,5.01102,-8.2776,-3.98009,-0.413567,-5.3284,-2.44945,3.50518,-8.15163,-10.414,13.7823,-22.8656,-13.0951,-21.5707,-14.9749,-18.2799,-12.9925,-20.3154,-19.5398,-23.5512,-0.241853,-92.2274
107,2376,2766,212468,56311.8,59087.8,5.33035,5.96961,-9.5195,-4.42734,-0.187293,-2.38783,-5.36328,4.27944,-7.88921,-10.7206,13.4789,-23.4942,-13.3871,-22.9234,-12.7279,-18.7932,-16.4304,-19.449,-19.3097,-23.1312,-0.640163,-93.4622
