generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
11,1200,109,1402,457.167,298.459,-15.2055,-3.3927,-9.90912,-7.37143,-5.04381,-6.21985,-7.93056,-8.09919,-2.47225,-11.5911,-0.65306,-2.91306,-5.10511,-4.23207,-1.30722,-5.40374,-7.086,-10.4095,-7.18939,-7.27858,-7.20565,-21.9448
12,1300,101,2450,422.567,438.096,-15.9652,-3.09079,-9.95381,-7.25206,-5.24058,-5.90667,-7.70481,-8.62605,-2.68327,-11.8482,-0.580329,-3.16539,-4.30459,-4.33351,-1.06297,-5.10381,-7.28878,-9.4272,-7.0682,-6.91291,-7.86666,-22.1074
13,1400,127,2694,653.9,507.461,-15.556,-2.82363,-9.54559,-7.60182,-5.3537,-6.03921,-7.635,-8.91009,-2.79757,-11.4631,-0.652929,-3.12749,-4.70751,-4.52225,-1.21948,-5.19713,-7.10784,-8.35894,-6.60073,-6.85735,-7.2022,-22.6186
14,1500,69,2269,566.5,582.854,-15.0535,-2.96365,-9.54861,-7.44593,-5.59204,-6.43863,-7.41852,-9.05813,-3.35198,-11.2697,-1.07457,-3.0578,-4.22566,-4.56293,-1.11935,-4.93549,-6.63895,-8.07193,-6.46218,-7.10051,-7.07489,-22.6433
15,1600,92,1941,677.567,542.818,-14.9276,-2.93093,-9.60357,-7.0979,-5.72337,-6.53402,-7.2068,-9.61248,-3.07002,-11.5895,-1.0746,-3.04937,-4.15918,-4.49997,-1.29467,-4.87343,-6.55615,-8.58095,-6.22621,-7.12729,-6.87491,-22.9184
16,1700,109,3503,687.867,710.192,-14.4859,-2.80216,-9.51977,-7.05855,-5.63357,-6.39462,-7.17945,-9.81456,-2.97272,-11.4452,-0.976329,-3.09675,-4.28487,-4.61277,-1.2776,-4.94128,-6.84561,-8.27616,-6.14816,-7.14363,-7.17894,-24.3568
17,1800,46,2373,773.533,637.027,-14.4286,-2.5738,-9.61366,-7.21236,-5.61329,-6.17525,-7.06547,-9.69731,-3.16141,-11.3317,-1.03495,-3.08106,-4.08057,-4.41012,-1.43514,-4.98419,-7.04342,-7.97922,-6.24577,-7.27699,-7.21799,-24.912
18,1900,79,3834,1037.3,868.688,-14.5094,-2.34639,-9.60736,-7.41528,-5.64909,-6.38623,-7.01045,-9.73753,-3.37264,-11.2026,-0.900818,-3.02525,-4.22378,-4.30167,-1.50125,-4.97598,-7.07151,-8.40959,-6.30911,-7.30442,-7.25416,-25.3986
19,2000,130,2314,845.933,535.611,-14.2214,-2.13148,-9.45041,-7.42782,-5.7123,-6.36607,-6.7857,-9.61086,-3.29655,-11.2128,-0.60559,-3.03715,-4.15607,-4.14901,-1.53357,-4.69164,-6.75442,-8.38411,-6.25249,-7.20169,-7.28791,-24.9437
20,2100,57,3305,810.7,702.373,-13.8683,-2.03457,-9.53148,-7.41686,-5.74227,-6.23257,-6.67454,-9.6038,-3.57753,-11.0134,-0.595697,-2.97852,-4.36874,-4.13334,-1.54072,-4.73136,-6.59376,-8.16603,-6.20993,-7.16997,-7.55652,-25.5183
