generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
53,324,692,83035,17627.2,19561.1,0.105471,-1.79322,2.70116,-2.09649,-6.08336,-2.13702,-1.83927
54,330,535,52946,19566.2,16729.4,0.0970821,-1.77425,2.71665,-2.04057,-6.04029,-2.14292,-1.85523
55,336,995,88359,18862.2,19658.3,0.0924394,-1.75299,2.72096,-2.06736,-5.97321,-2.1707,-1.83442
56,342,1788,64164,20961.1,17213.8,0.0915505,-1.68676,2.73712,-1.97178,-5.99466,-2.07877,-1.81412
57,348,926,99667,19619.8,21636.7,0.0877577,-1.74246,2.80914,-2.0334,-6.06672,-2.11534,-1.78394
58,354,1302,74551,22243.7,19015.7,0.0875925,-1.71211,2.81772,-2.02421,-6.03346,-2.06678,-1.69568
59,360,1492,112501,23525.5,25608.2,0.0842785,-1.78114,2.82547,-2.04858,-6.00627,-2.11634,-1.72317
60,366,517,78855,24572.4,20790.1,0.0833937,-1.83416,2.77093,-2.14253,-6.02824,-2.10959,-1.74031
61,372,1178,90403,21580.2,22631.7,0.081765,-1.8414,2.76288,-2.11102,-6.06588,-2.18936,-1.84646
62,378,622,50773,20151.7,14631.1,0.0759373,-1.84504,2.74865,-2.12578,-6.03995,-2.18599,-1.85503
63,384,807,49896,11885.9,11372.9,0.0701582,-1.82261,2.7741,-2.08108,-6.00864,-2.19147,-1.85511
64,390,668,60316,16141.3,15633.4,0.0670487,-1.77663,2.81079,-2.08593,-6.07501,-2.20692,-1.8481
65,396,3034,130614,30683.7,31457.7,0.0718094,-1.71909,2.87351,-2.05224,-6.10885,-2.18137,-1.77918
66,402,2010,57317,19996.4,14911.2,0.0765132,-1.75367,2.90594,-2.0723,-6.1725,-2.22713,-1.78992
67,408,879,80280,22354.1,19067,0.0776722,-1.75921,2.9019,-2.07804,-6.19044,-2.17945,-1.80389
68,414,244,95133,21513.5,20428.3,0.0807535,-1.72057,2.85919,-2.04359,-6.11745,-2.08125,-1.78409
69,420,1356,49627,16423.4,12458.7,0.0782885,-1.69712,2.85761,-2.04015,-6.07441,-2.07376,-1.76272
70,426,1857,112850,20146.9,23312.2,0.075891,-1.70118,2.88572,-2.01431,-6.07176,-2.04997,-1.70515
71,432,297,55519,16990.3,16399.3,0.0804511,-1.67869,2.90249,-1.97956,-6.05564,-2.02429,-1.62005
72,438,193,64052,18075.1,16554.1,0.0865626,-1.65177,2.83931,-1.96961,-5.93889,-2.07762,-1.69585
73,444,572,60624,17742.8,16288.8,0.0919436,-1.65048,2.82955,-1.92757,-5.90531,-2.09124,-1.76663
74,450,330,38835,13090.7,10967.5,0.0981721,-1.62004,2.85987,-1.85232,-5.88488,-1.99704,-1.66305
75,456,515,72091,13967,17782.7,0.0910337,-1.63602,2.8316,-1.90489,-5.90002,-2.0299,-1.75211
76,462,163,80166,17096.5,19461.3,0.0786945,-1.68611,2.85674,-1.94423,-5.95691,-2.07481,-1.72353
77,468,736,50819,17784.9,14506.8,0.0786727,-1.70181,2.91759,-1.96858,-6.05193,-2.15693,-1.75063
78,474,1343,83091,22375.2,21158.9,0.0844615,-1.6809,2.94934,-1.9234,-6.08391,-2.16034,-1.67301
79,480,755,63502,15517.2,15728.1,0.0861821,-1.67211,2.96693,-1.9339,-6.11421,-2.15255,-1.62829
80,486,158,135420,21977.7,26787.6,0.089643,-1.66489,3.01521,-1.93053,-6.1356,-2.16865,-1.56851
81,492,85,151240,26801,33366.9,0.0928439,-1.73439,2.9774,-1.99393,-6.05679,-2.22006,-1.62851
82,498,389,116584,23589.4,25927.9,0.0920041,-1.73006,2.97186,-1.9452,-6.0009,-2.19678,-1.63161
83,504,1915,61540,18632.5,16312.1,0.0859266,-1.73621,2.92743,-1.97067,-5.95423,-2.13287,-1.62816
84,510,1036,97113,26871.3,23137.9,0.0879138,-1.74734,2.88078,-1.92058,-5.94553,-2.04858,-1.62831
85,516,1795,85588,18206.2,22233.4,0.0940242,-1.74597,2.89255,-1.91241,-5.87684,-2.08121,-1.73749
86,522,200,84188,22587.7,19352.1,0.093443,-1.80536,2.90882,-1.95339,-5.91305,-2.10167,-1.70264
87,528,739,81031,20423.3,19594.6,0.0948234,-1.85671,2.84578,-1.96735,-5.85794,-2.0855,-1.71233
88,534,1327,81729,23528.6,19671.1,0.0956331,-1.88371,2.83232,-1.97825,-5.84531,-2.07171,-1.66838
89,540,925,92278,28214.9,24265.7,0.0983521,-1.9338,2.80458,-2.00617,-5.86229,-2.14841,-1.79854
90,546,257,81667,29086.4,23388.1,0.100287,-1.92229,2.779,-1.96996,-5.89511,-2.11279,-1.80822
91,552,1606,130091,22851.9,29614.1,0.105184,-1.96569,2.76244,-1.9727,-5.89842,-2.06907,-1.84419
92,558,54,116202,23429.4,28814,0.111399,-1.95538,2.71765,-1.92932,-5.82476,-2.06443,-1.95167
93,564,1473,104999,16611.1,21307.9,0.113454,-1.93576,2.70499,-1.90618,-5.83882,-2.03052,-1.96828
94,570,374,78256,22922.2,20861.8,0.105818,-1.94688,2.77955,-1.90506,-5.83281,-2.05559,-1.8697
95,576,2072,75993,28075.2,20460.6,0.0993714,-1.95057,2.84615,-1.94852,-5.96634,-2.09739,-1.83164
96,582,174,65217,19497.5,16594.6,0.100152,-1.93752,2.87306,-1.92944,-6.03945,-2.05506,-1.75869
97,588,1247,90606,20938.5,20704.6,0.101076,-1.9049,2.91726,-1.91234,-6.05002,-2.02528,-1.65411
98,594,2705,75338,23371.9,19955.8,0.105612,-1.85762,2.99061,-1.98806,-6.1346,-2.0971,-1.61571
99,600,132,85878,20773.2,18461.6,0.105866,-1.91513,2.85176,-2.00579,-5.9732,-2.01226,-1.73986
100,606,1382,93805,26734.8,23083.1,0.100904,-1.9055,2.8772,-1.9794,-6.03286,-2.01618,-1.78307
101,612,558,118119,20076.7,24556,0.105992,-1.91391,2.86091,-1.9808,-6.11794,-1.96581,-1.75964
102,618,419,77566,21047.8,21322,0.119332,-1.91849,2.91336,-2.02861,-6.26911,-1.96474,-1.67865
103,624,372,91767,22585.7,22985.4,0.116156,-1.94709,2.83524,-2.03434,-6.15701,-2.02098,-1.75686
104,630,706,65973,23189.7,18515.2,0.120466,-2.00118,2.85512,-2.0716,-6.25572,-2.10809,-1.78713
105,636,1130,84537,25589.6,21763,0.139998,-2.04177,2.78271,-2.03054,-6.32634,-2.04304,-1.78999
106,642,1457,70589,23110.1,18470.3,0.169127,-1.97862,2.9,-1.97328,-6.51018,-2.08596,-1.60152
107,648,380,144881,25353.1,27366.3,0.176742,-2.01811,2.77881,-1.99991,-6.41143,-2.09024,-1.84094
108,654,2542,137785,30559.8,27310.2,0.191714,-2.10258,2.72139,-1.95178,-6.45316,-2.04774,-1.76938
109,660,435,70026,25727,23024.6,0.200048,-2.07585,2.69194,-1.9553,-6.44343,-2.15145,-1.85175
110,666,282,80293,27152,21178.9,0.194696,-2.14255,2.75507,-1.95532,-6.5179,-2.16283,-1.77737
111,672,1088,78203,19201.6,20001.1,0.193562,-2.23596,2.72065,-2.01611,-6.60593,-2.21889,-1.79608
112,678,152,74590,17608.8,19086.2,0.209335,-2.37445,2.59028,-1.98585,-6.60393,-2.25815,-1.97066
113,684,331,164744,42644.2,44661.3,0.235781,-2.40695,2.53891,-1.99917,-6.76477,-2.40454,-2.01967
114,690,936,123075,32440.7,34671.4,0.247914,-2.42057,2.5086,-1.92796,-6.85736,-2.3423,-2.02924
115,696,930,144185,36009.9,35960.3,0.277004,-2.43714,2.59172,-1.94952,-7.02408,-2.64548,-2.15185
116,702,1696,118561,22993.3,23585.1,0.295212,-2.48664,2.63277,-2.07753,-6.99736,-2.80664,-2.22072
117,708,263,144900,24768.7,31686.1,0.258387,-2.41002,2.59536,-2.01604,-6.72866,-2.55344,-2.14782
118,714,1203,109252,28643.5,29110.4,0.245155,-2.35643,2.77985,-2.03916,-6.9932,-2.64218,-2.0978
119,720,1771,176221,29252.4,35892.1,0.237227,-2.42017,2.75339,-2.17948,-6.95481,-2.77704,-2.19707
120,726,316,65298,24996.4,18609.1,0.22325,-2.41392,2.68071,-2.18841,-6.84009,-2.53987,-2.19228
121,732,973,147902,32322.1,32396.6,0.223136,-2.45535,2.68775,-2.22817,-6.76503,-2.41343,-2.11384
122,738,1070,61802,18998.6,15410.1,0.199094,-2.5153,2.67251,-2.18765,-6.84624,-2.56205,-2.11315
123,744,852,92597,26925.7,27402.7,0.195049,-2.52117,2.73819,-2.26318,-6.77152,-2.62818,-2.06324
124,750,958,49722,21458.6,12374.3,0.20995,-2.42238,2.91713,-2.18793,-6.80763,-2.71333,-1.90435
125,756,34,58220,22799.1,20156.4,0.235195,-2.4255,2.99335,-2.1627,-6.93872,-2.92934,-1.84461
126,762,2247,81544,25410.8,19553.4,0.24063,-2.37784,3.04171,-2.09409,-7.08576,-2.8948,-1.76839
127,768,214,80770,24313.1,20314.1,0.234146,-2.30576,3.09171,-2.11134,-7.02171,-2.93027,-1.8056
128,774,543,112122,35335.4,32487.1,0.216585,-2.2361,3.05945,-2.11839,-6.81614,-2.75492,-1.79619
