generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
17,1800,62,564,225.467,140.875,11.3731,-2.99581,-10.7154,-8.48188,-10.8463,-6.84742,-10.5611,-11.0787,-11.2971,-11.209,0.225752,-8.11747,-5.25939,-5.31339,-10.2447,-9.64425,-12.3021,-10.0477,-10.1841,-10.4759,-13.5523,-36.2823
18,1900,45,645,176.233,134.175,11.7798,-3.36178,-12.2383,-7.36819,-10.8269,-7.60579,-8.81276,-11.2283,-9.69422,-12.3289,-0.590719,-9.19419,-5.90297,-5.32892,-12.1765,-10.1446,-12.4268,-9.46793,-10.6252,-10.2229,-11.6622,-36.9472
19,2000,48,683,302.9,196.343,12.8972,-2.97409,-13.8515,-7.40072,-10.6524,-7.01626,-7.85111,-11.1166,-10.7821,-12.2418,-1.32631,-8.71228,-6.53945,-7.62695,-12.4409,-10.3345,-9.42491,-10.1332,-10.5389,-9.61822,-9.71599,-39.0072
20,2100,53,557,223.7,121.571,11.1789,-2.62806,-14.7349,-7.68216,-10.8691,-6.25851,-9.10302,-11.3103,-13.0535,-11.6952,-1.28131,-8.85034,-6.10944,-8.58678,-12.3808,-10.4362,-10.5527,-11.0354,-10.7426,-10.3708,-10.0125,-39.6277
21,2200,107,936,306.3,199.455,9.66523,-2.47572,-14.0751,-7.81807,-13.275,-6.77609,-10.1549,-11.9523,-12.1779,-11.2305,-1.83689,-9.56825,-5.92778,-7.60923,-12.9504,-9.68503,-11.0093,-10.1479,-8.81774,-10.2312,-9.62636,-41.5663
22,2300,21,624,262.267,168.963,9.53879,-2.893,-13.6025,-7.18564,-12.088,-6.63014,-12.521,-11.0583,-11.5057,-9.58726,-0.944049,-9.0028,-5.82434,-9.17384,-11.3927,-9.71084,-12.4844,-9.91511,-8.03971,-9.22182,-10.2123,-41.8911
23,2400,44,544,213.8,134.514,8.28116,-3.29465,-14.7532,-6.14559,-12.9448,-8.07638,-11.9391,-11.5889,-12.5187,-8.61486,-0.368713,-8.76975,-7.02696,-10.8413,-11.0688,-9.45814,-11.7564,-11.2939,-6.33952,-10.3542,-10.5815,-44.6341
24,2500,75,848,275.267,188.35,8.07635,-3.8721,-14.6755,-7.09874,-14.2086,-7.9821,-12.0011,-11.1882,-12.6553,-8.46198,-0.359032,-7.19749,-8.15016,-10.7731,-11.6755,-11.0565,-11.0932,-11.7327,-8.37009,-13.333,-10.7171,-47.4209
25,2600,51,812,297.9,201.594,7.1439,-3.11125,-13.5373,-7.75451,-12.8543,-7.42976,-10.4878,-11.1689,-11.834,-10.191,-1.13688,-8.66361,-7.7453,-11.6229,-12.1642,-10.7299,-10.3203,-10.6966,-7.28945,-12.1601,-10.0733,-47.9842
26,2700,76,738,264.4,148.513,5.5827,-2.65799,-14.2369,-8.2807,-12.851,-8.73349,-9.18844,-10.6605,-10.4171,-11.2047,-0.239051,-8.78217,-10.7141,-12.0405,-12.2285,-10.3496,-9.47662,-10.2409,-7.85283,-12.4885,-8.37597,-48.7259
27,2800,58,1663,405.067,328.986,5.64222,-2.75906,-14.3626,-6.65255,-12.832,-7.29462,-9.29182,-12.7201,-10.0762,-12.3958,0.477885,-11.8861,-9.74431,-12.4596,-12.843,-11.8758,-10.3047,-10.4618,-6.30839,-10.4604,-9.15451,-49.378
28,2900,44,794,305.733,212.223,6.972,-3.27523,-13.5405,-7.70876,-13.2784,-5.96503,-10.0988,-11.4839,-9.31305,-12.0047,1.09377,-11.2921,-9.44744,-12.5708,-13.2467,-12.7247,-11.23,-9.64372,-7.95514,-9.81908,-9.90526,-49.5136
29,3000,51,944,366.067,265.046,6.66119,-1.82612,-13.1865,-6.92198,-13.6866,-5.75929,-10.0831,-10.5944,-8.96582,-12.1635,-1.05692,-11.2853,-8.8459,-12.3699,-13.3519,-11.8771,-8.83186,-10.8165,-5.59654,-8.66103,-10.2044,-50.4889
30,3100,92,1210,324.467,240.848,6.09836,-2.25231,-13.4885,-7.54944,-15.7786,-7.22385,-10.3679,-12.8921,-9.04981,-14.6454,-0.762108,-13.9361,-8.1821,-13.1075,-13.0695,-10.8762,-9.56169,-9.8255,-8.77324,-9.85342,-9.40513,-50.2579
31,3200,107,820,268.933,154.672,6.9349,-0.971796,-12.7314,-7.41211,-16.2162,-3.44192,-10.1162,-12.0827,-8.0693,-15.102,-0.602203,-12.6703,-7.79206,-12.909,-13.832,-9.34442,-11.2202,-9.4924,-7.36524,-12.4845,-9.74612,-50.6657
32,3300,62,1248,266.467,267.024,7.23819,-0.95314,-12.5657,-5.71039,-16.7533,-4.59805,-9.41561,-14.322,-9.81758,-14.8764,0.148107,-15.2704,-8.51283,-12.0616,-12.928,-9.97103,-9.85452,-9.33076,-10.1626,-13.5231,-8.85232,-50.8285
33,3400,57,664,302.167,158.461,8.32106,-1.95259,-12.6934,-5.83376,-17.3279,-3.15121,-9.66407,-13.6372,-8.92633,-14.8782,0.727901,-15.6847,-7.84912,-12.953,-12.5485,-9.90352,-9.90711,-9.13008,-7.90573,-13.0724,-10.176,-51.069
34,3500,32,870,288.367,203.721,7.50269,-2.23558,-13.1704,-4.8755,-16.7319,-2.60332,-10.778,-14.3665,-7.97863,-15.2252,1.89511,-15.0122,-7.71946,-12.7734,-12.5428,-11.4839,-9.96845,-9.91932,-6.44072,-12.4488,-9.43816,-52.1702
